Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

12:30:08  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:30:13  IST  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
12:30:18  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:30:23  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:30:28  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:30:33  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:30:38  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:30:43  IST  all    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.95
12:30:48  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:30:53  IST  all   72.16    0.00    5.34    0.00    0.00    0.05    0.00    0.00    0.00   22.46
12:30:58  IST  all   94.40    0.00    5.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:31:03  IST  all   95.25    0.00    4.60    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:31:08  IST  all   95.40    0.00    4.50    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:31:13  IST  all   95.70    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:31:18  IST  all   95.75    0.00    4.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:31:23  IST  all   95.65    0.00    4.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:31:28  IST  all   95.80    0.00    4.15    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:31:33  IST  all   95.25    0.00    4.60    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:31:38  IST  all   95.75    0.00    4.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:31:43  IST  all   95.75    0.00    4.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:31:48  IST  all   95.10    0.00    4.75    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:31:53  IST  all   95.70    0.00    4.20    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:31:58  IST  all   95.45    0.00    4.40    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:32:03  IST  all   95.35    0.00    4.55    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:32:08  IST  all   95.30    0.00    4.55    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:32:13  IST  all   94.95    0.00    4.90    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:32:18  IST  all   95.45    0.00    4.35    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:32:23  IST  all   95.15    0.00    4.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:32:28  IST  all   95.30    0.00    4.50    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:32:33  IST  all   95.00    0.00    4.60    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:32:38  IST  all   95.75    0.00    4.15    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:32:43  IST  all   95.00    0.00    4.65    0.00    0.00    0.35    0.00    0.00    0.00    0.00
12:32:48  IST  all   94.85    0.00    4.90    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:32:53  IST  all   95.20    0.00    4.60    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:32:58  IST  all   95.10    0.00    4.80    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:33:03  IST  all   95.15    0.00    4.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:33:08  IST  all   95.35    0.00    4.50    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:33:13  IST  all   95.70    0.00    4.05    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:33:18  IST  all   95.55    0.00    4.15    0.00    0.00    0.30    0.00    0.00    0.00    0.00
12:33:23  IST  all   95.65    0.00    4.10    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:33:28  IST  all   95.15    0.00    4.70    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:33:33  IST  all   94.60    0.00    5.20    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:33:38  IST  all   95.25    0.00    4.60    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:33:43  IST  all   95.45    0.00    4.40    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:33:48  IST  all   95.35    0.00    4.35    0.00    0.00    0.30    0.00    0.00    0.00    0.00
