Linux 4.15.0-117-generic (sl1-21) 	Thursday 28 January 2021 	_x86_64_	(4 CPU)

11:35:13  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:35:18  IST  all    0.00    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.90
11:35:23  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:35:28  IST  all    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:35:33  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:35:38  IST  all   10.83    0.00    0.15    0.05    0.00    0.05    0.00    0.00    0.00   88.92
11:35:43  IST  all   24.27    0.00    0.25    0.05    0.00    0.15    0.00    0.00    0.00   75.28
11:35:48  IST  all   23.82    0.00    0.90    0.05    0.00    0.05    0.00    0.00    0.00   75.18
11:35:53  IST  all   23.96    0.00    0.81    0.05    0.00    0.10    0.00    0.00    0.00   75.09
11:35:58  IST  all   23.73    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   75.41
11:36:03  IST  all   23.65    0.00    0.91    0.05    0.00    0.10    0.00    0.00    0.00   75.29
11:36:08  IST  all   23.86    0.00    1.10    0.05    0.00    0.20    0.00    0.00    0.00   74.79
11:36:13  IST  all   23.38    0.00    1.61    0.05    0.00    0.25    0.00    0.00    0.00   74.71
11:36:18  IST  all   23.42    0.00    1.31    0.05    0.00    0.10    0.00    0.00    0.00   75.13
11:36:23  IST  all   23.30    0.00    2.00    0.05    0.00    0.45    0.00    0.00    0.00   74.20
11:36:28  IST  all   23.27    0.00    1.50    0.05    0.00    0.20    0.00    0.00    0.00   74.97
11:36:33  IST  all   23.17    0.00    1.50    0.05    0.00    0.15    0.00    0.00    0.00   75.13
11:36:38  IST  all   23.34    0.00    1.55    0.05    0.00    0.25    0.00    0.00    0.00   74.81
11:36:43  IST  all   23.31    0.00    1.65    0.05    0.00    0.20    0.00    0.00    0.00   74.79
11:36:48  IST  all   23.50    0.00    1.60    0.05    0.00    0.30    0.00    0.00    0.00   74.55
11:36:53  IST  all   24.19    0.00    1.64    0.05    0.00    0.50    0.00    0.00    0.00   73.62
11:36:58  IST  all   23.52    0.00    1.74    0.05    0.00    0.35    0.00    0.00    0.00   74.34
11:37:03  IST  all   23.89    0.00    1.80    0.00    0.00    0.30    0.00    0.00    0.00   74.01
11:37:08  IST  all   23.47    0.00    1.84    0.05    0.00    0.30    0.00    0.00    0.00   74.34
11:37:13  IST  all   22.99    0.00    2.29    0.05    0.00    0.20    0.00    0.00    0.00   74.48
11:37:18  IST  all   23.29    0.00    2.38    0.05    0.00    0.25    0.00    0.00    0.00   74.03
11:37:23  IST  all   22.99    0.00    2.58    0.05    0.00    0.35    0.00    0.00    0.00   74.03
11:37:28  IST  all   22.85    0.00    2.58    0.05    0.00    0.25    0.00    0.00    0.00   74.27
11:37:33  IST  all   22.65    0.00    2.97    0.05    0.00    0.54    0.00    0.00    0.00   73.79
11:37:38  IST  all   22.87    0.00    2.92    0.05    0.00    0.45    0.00    0.00    0.00   73.71
11:37:43  IST  all   23.50    0.00    2.77    0.05    0.00    0.49    0.00    0.00    0.00   73.18
11:37:48  IST  all   22.94    0.00    2.43    0.05    0.00    0.40    0.00    0.00    0.00   74.18
11:37:53  IST  all   23.17    0.00    1.75    0.05    0.00    0.10    0.00    0.00    0.00   74.92
11:37:58  IST  all   23.87    0.00    0.85    0.00    0.00    0.20    0.00    0.00    0.00   75.08
11:38:03  IST  all   23.79    0.00    0.75    0.05    0.00    0.15    0.00    0.00    0.00   75.25
11:38:08  IST  all   24.23    0.00    0.50    0.05    0.00    0.20    0.00    0.00    0.00   75.01
11:38:13  IST  all   23.71    0.00    1.10    0.05    0.00    0.30    0.00    0.00    0.00   74.84
11:38:18  IST  all   24.00    0.00    1.39    0.05    0.00    0.25    0.00    0.00    0.00   74.30
11:38:23  IST  all   23.24    0.00    2.04    0.05    0.00    0.05    0.00    0.00    0.00   74.61
11:38:28  IST  all   22.79    0.00    2.68    0.00    0.00    0.15    0.00    0.00    0.00   74.38
11:38:33  IST  all   23.67    0.00    1.89    0.05    0.00    0.50    0.00    0.00    0.00   73.89
11:38:38  IST  all   23.45    0.00    1.35    0.05    0.00    0.35    0.00    0.00    0.00   74.80
11:38:43  IST  all   24.12    0.00    0.45    0.05    0.00    0.05    0.00    0.00    0.00   75.33
11:38:48  IST  all   23.70    0.00    0.81    0.05    0.00    0.10    0.00    0.00    0.00   75.34
11:38:53  IST  all   24.12    0.00    0.55    0.05    0.00    0.25    0.00    0.00    0.00   75.03
11:38:58  IST  all   24.18    0.00    0.90    0.05    0.00    0.35    0.00    0.00    0.00   74.51
11:39:03  IST  all   23.94    0.00    1.35    0.10    0.00    0.10    0.00    0.00    0.00   74.51
11:39:08  IST  all   23.17    0.00    2.24    0.00    0.00    0.15    0.00    0.00    0.00   74.44
11:39:13  IST  all   23.15    0.00    3.07    0.10    0.00    0.45    0.00    0.00    0.00   73.24
11:39:18  IST  all   23.36    0.00    1.99    0.05    0.00    0.25    0.00    0.00    0.00   74.35
11:39:23  IST  all   23.22    0.00    1.50    0.05    0.00    0.15    0.00    0.00    0.00   75.08
11:39:28  IST  all   23.73    0.00    1.45    0.05    0.00    0.25    0.00    0.00    0.00   74.53
11:39:33  IST  all   24.11    0.00    0.85    0.05    0.00    0.15    0.00    0.00    0.00   74.84
11:39:38  IST  all   24.31    0.00    0.60    0.05    0.00    0.25    0.00    0.00    0.00   74.79
11:39:43  IST  all   23.73    0.00    0.85    0.05    0.00    0.25    0.00    0.00    0.00   75.11
11:39:48  IST  all   23.68    0.00    1.16    0.00    0.00    0.05    0.00    0.00    0.00   75.11
11:39:53  IST  all   23.99    0.00    1.59    0.05    0.00    0.20    0.00    0.00    0.00   74.17
11:39:58  IST  all   23.51    0.00    2.38    0.05    0.00    0.30    0.00    0.00    0.00   73.76
11:40:03  IST  all   22.96    0.00    3.02    0.10    0.00    0.64    0.00    0.00    0.00   73.28
11:40:08  IST  all   22.86    0.00    2.29    0.05    0.00    0.30    0.00    0.00    0.00   74.50
11:40:13  IST  all   23.36    0.00    1.36    0.05    0.00    0.15    0.00    0.00    0.00   75.09
11:40:18  IST  all   23.62    0.00    1.06    0.05    0.00    0.15    0.00    0.00    0.00   75.13
11:40:23  IST  all   23.88    0.00    0.65    0.00    0.00    0.10    0.00    0.00    0.00   75.37
11:40:28  IST  all   24.25    0.00    0.50    0.05    0.00    0.10    0.00    0.00    0.00   75.10
