Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

07:35:09  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:35:14  IST  all    0.05    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.80
07:35:19  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:35:24  IST  all    0.05    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.80
07:35:29  IST  all   47.47    0.00    2.65    0.00    0.00    0.05    0.00    0.00    0.00   49.82
07:35:34  IST  all   94.65    0.00    5.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:35:39  IST  all   94.30    0.00    5.65    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:35:44  IST  all   94.95    0.00    5.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:35:49  IST  all   94.30    0.00    5.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:35:54  IST  all   94.65    0.00    5.15    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:35:59  IST  all   94.70    0.00    5.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:36:04  IST  all   94.00    0.00    5.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:36:09  IST  all   95.45    0.00    4.50    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:36:14  IST  all   95.60    0.00    4.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:36:19  IST  all   94.75    0.00    5.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:36:24  IST  all   95.35    0.00    4.55    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:36:29  IST  all   95.00    0.00    4.90    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:36:34  IST  all   95.25    0.00    4.70    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:36:39  IST  all   95.40    0.00    4.50    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:36:44  IST  all   95.75    0.00    4.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00
07:36:49  IST  all   95.30    0.00    4.35    0.00    0.00    0.35    0.00    0.00    0.00    0.00
07:36:54  IST  all   95.20    0.00    4.20    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:36:59  IST  all   95.00    0.00    4.30    0.00    0.00    0.70    0.00    0.00    0.00    0.00
07:37:04  IST  all   94.65    0.00    4.65    0.00    0.00    0.70    0.00    0.00    0.00    0.00
07:37:09  IST  all   94.75    0.00    4.45    0.00    0.00    0.80    0.00    0.00    0.00    0.00
07:37:14  IST  all   94.75    0.00    4.40    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:37:19  IST  all   94.35    0.00    4.60    0.00    0.00    1.05    0.00    0.00    0.00    0.00
07:37:24  IST  all   94.80    0.00    4.30    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:37:29  IST  all   94.60    0.00    4.50    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:37:34  IST  all   94.95    0.00    4.05    0.00    0.00    1.00    0.00    0.00    0.00    0.00
07:37:39  IST  all   94.55    0.00    4.60    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:37:44  IST  all   94.20    0.00    4.90    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:37:49  IST  all   95.05    0.00    4.00    0.00    0.00    0.95    0.00    0.00    0.00    0.00
07:37:54  IST  all   94.65    0.00    4.50    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:37:59  IST  all   94.85    0.00    4.25    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:38:04  IST  all   94.45    0.00    4.70    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:38:09  IST  all   94.50    0.00    4.50    0.00    0.00    1.00    0.00    0.00    0.00    0.00
07:38:14  IST  all   95.15    0.00    4.00    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:38:19  IST  all   94.60    0.00    4.60    0.00    0.00    0.80    0.00    0.00    0.00    0.00
07:38:24  IST  all   95.00    0.00    4.15    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:38:29  IST  all   95.00    0.00    4.30    0.00    0.00    0.70    0.00    0.00    0.00    0.00
07:38:34  IST  all   95.00    0.00    4.35    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:38:39  IST  all   95.05    0.00    4.30    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:38:44  IST  all   95.15    0.00    4.25    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:38:49  IST  all   95.50    0.00    4.10    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:38:54  IST  all   95.30    0.00    4.30    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:38:59  IST  all   94.95    0.00    4.55    0.00    0.00    0.50    0.00    0.00    0.00    0.00
07:39:04  IST  all   94.45    0.00    5.05    0.00    0.00    0.50    0.00    0.00    0.00    0.00
07:39:09  IST  all   95.10    0.00    4.60    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:39:14  IST  all   94.80    0.00    4.85    0.00    0.00    0.35    0.00    0.00    0.00    0.00
07:39:19  IST  all   95.85    0.00    3.95    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:39:24  IST  all   95.35    0.00    4.45    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:39:29  IST  all   96.00    0.00    3.90    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:39:34  IST  all   95.50    0.00    4.35    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:39:39  IST  all   95.20    0.00    4.65    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:39:44  IST  all   95.30    0.00    4.65    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:39:49  IST  all   95.70    0.00    4.25    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:39:54  IST  all   95.25    0.00    4.60    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:39:59  IST  all   95.30    0.00    4.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:40:04  IST  all   94.05    0.00    5.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:40:09  IST  all   95.30    0.00    4.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:40:14  IST  all   95.15    0.00    4.65    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:40:19  IST  all   95.85    0.00    4.10    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:40:24  IST  all   96.00    0.00    3.90    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:40:29  IST  all   95.15    0.00    4.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:40:34  IST  all   95.00    0.00    4.80    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:40:39  IST  all   34.47    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   63.83
07:40:44  IST  all   17.27    0.00    1.65    0.00    0.00    0.05    0.00    0.00    0.00   81.03
07:40:49  IST  all    4.06    0.00    0.35    0.00    0.00    0.05    0.00    0.00    0.00   95.54
07:40:54  IST  all    1.10    0.00    0.15    0.05    0.00    0.00    0.00    0.00    0.00   98.70
07:40:59  IST  all    3.40    0.00    0.50    0.05    0.00    0.00    0.00    0.00    0.00   96.05
07:41:04  IST  all    1.65    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.20
07:41:09  IST  all    0.00    0.00    0.00    0.00    0.00    0.05    0.00    0.00    0.00   99.95
07:41:14  IST  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
07:41:19  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:24  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:29  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:34  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:39  IST  all    0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.85
07:41:44  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:41:49  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:59  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:42:04  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
07:42:09  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:42:14  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:42:19  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:42:24  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:42:29  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:42:34  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:42:39  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:42:44  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:42:49  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:42:54  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:42:59  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:43:04  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:43:09  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:43:14  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
07:43:19  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90

Average:     all   60.29    0.00    2.94    0.00    0.00    0.25    0.00    0.00    0.00   36.52
