Linux 4.15.0-117-generic (sl1-21) 	Thursday 28 January 2021 	_x86_64_	(4 CPU)

11:26:43  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:26:48  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:53  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:26:58  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:27:03  IST  all    0.10    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   99.55
11:27:08  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:27:13  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:27:18  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:27:23  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:28  IST  all    0.20    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.75
11:27:33  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:38  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:27:43  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:27:48  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:27:53  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:27:58  IST  all    0.00    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   99.40
11:28:03  IST  all    0.10    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   99.30
11:28:08  IST  all   12.37    0.00    0.91    0.00    0.00    0.05    0.00    0.00    0.00   86.67
11:28:13  IST  all   12.53    0.00    0.70    0.00    0.00    0.05    0.00    0.00    0.00   86.72
11:28:18  IST  all   12.63    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   86.57
11:28:23  IST  all   12.61    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   86.48
11:28:28  IST  all   12.58    0.00    0.75    0.05    0.00    0.00    0.00    0.00    0.00   86.62
11:28:33  IST  all   12.93    0.00    0.65    0.00    0.00    0.05    0.00    0.00    0.00   86.37
11:28:38  IST  all   12.77    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   86.27
11:28:43  IST  all   12.58    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   86.76
11:28:48  IST  all   13.01    0.00    0.40    0.05    0.00    0.00    0.00    0.00    0.00   86.54
11:28:53  IST  all   12.82    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00   86.53
11:28:58  IST  all   12.57    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   86.68
11:29:03  IST  all   12.98    0.00    0.86    0.00    0.00    0.05    0.00    0.00    0.00   86.12
11:29:08  IST  all   13.20    0.00    0.50    0.05    0.00    0.00    0.00    0.00    0.00   86.25
11:29:13  IST  all   12.92    0.00    0.70    0.05    0.00    0.05    0.00    0.00    0.00   86.27
11:29:18  IST  all   12.84    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   86.56
11:29:23  IST  all   12.63    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   86.67
11:29:28  IST  all   13.17    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   86.43
11:29:33  IST  all   12.80    0.00    0.65    0.05    0.00    0.05    0.00    0.00    0.00   86.45
11:29:38  IST  all   12.45    0.00    1.00    0.00    0.00    0.05    0.00    0.00    0.00   86.50
11:29:43  IST  all   12.56    0.00    0.75    0.05    0.00    0.00    0.00    0.00    0.00   86.63
11:29:48  IST  all   12.86    0.00    0.45    0.00    0.00    0.05    0.00    0.00    0.00   86.63
11:29:53  IST  all   12.67    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   86.53
11:29:58  IST  all   13.07    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   86.03
11:30:03  IST  all   13.42    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00   85.62
11:30:08  IST  all   12.71    0.00    0.90    0.05    0.00    0.05    0.00    0.00    0.00   86.28
11:30:13  IST  all   12.86    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   86.04
11:30:18  IST  all   13.00    0.00    0.80    0.05    0.00    0.05    0.00    0.00    0.00   86.09
11:30:23  IST  all   12.71    0.00    1.00    0.05    0.00    0.05    0.00    0.00    0.00   86.19
11:30:28  IST  all   13.31    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   85.79
11:30:33  IST  all   13.32    0.00    0.70    0.05    0.00    0.00    0.00    0.00    0.00   85.93
11:30:38  IST  all   12.97    0.00    0.50    0.05    0.00    0.00    0.00    0.00    0.00   86.48
11:30:43  IST  all   13.45    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   85.84
11:30:48  IST  all   12.61    0.00    1.35    0.05    0.00    0.00    0.00    0.00    0.00   85.99
11:30:53  IST  all   13.06    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   86.19
11:30:58  IST  all   13.10    0.00    0.75    0.05    0.00    0.00    0.00    0.00    0.00   86.09
11:31:03  IST  all   13.12    0.00    0.90    0.05    0.00    0.00    0.00    0.00    0.00   85.93
11:31:08  IST  all   12.96    0.00    0.70    0.00    0.00    0.10    0.00    0.00    0.00   86.24
11:31:13  IST  all   13.04    0.00    0.50    0.05    0.00    0.10    0.00    0.00    0.00   86.31
11:31:18  IST  all   12.51    0.00    0.85    0.05    0.00    0.05    0.00    0.00    0.00   86.54
11:31:23  IST  all   13.19    0.00    0.65    0.05    0.00    0.05    0.00    0.00    0.00   86.06
11:31:28  IST  all   13.18    0.00    0.80    0.05    0.00    0.05    0.00    0.00    0.00   85.92
11:31:33  IST  all   13.15    0.00    0.55    0.05    0.00    0.05    0.00    0.00    0.00   86.19
11:31:38  IST  all   13.43    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00   85.92
11:31:43  IST  all   13.01    0.00    0.75    0.05    0.00    0.05    0.00    0.00    0.00   86.14
11:31:48  IST  all   13.30    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   85.95
11:31:53  IST  all   12.81    0.00    0.90    0.05    0.00    0.10    0.00    0.00    0.00   86.14
11:31:58  IST  all   12.67    0.00    0.85    0.05    0.00    0.15    0.00    0.00    0.00   86.28
11:32:03  IST  all   13.39    0.00    0.75    0.05    0.00    0.15    0.00    0.00    0.00   85.66
11:32:08  IST  all   13.17    0.00    0.85    0.05    0.00    0.10    0.00    0.00    0.00   85.83
11:32:13  IST  all   13.14    0.00    0.80    0.05    0.00    0.00    0.00    0.00    0.00   86.01
11:32:18  IST  all   13.28    0.00    0.90    0.05    0.00    0.00    0.00    0.00    0.00   85.76
11:32:23  IST  all   13.33    0.00    0.85    0.05    0.00    0.05    0.00    0.00    0.00   85.71
11:32:28  IST  all   12.98    0.00    0.95    0.05    0.00    0.05    0.00    0.00    0.00   85.96
11:32:33  IST  all   13.12    0.00    1.05    0.05    0.00    0.05    0.00    0.00    0.00   85.73
11:32:38  IST  all   13.23    0.00    0.85    0.00    0.00    0.05    0.00    0.00    0.00   85.87
