Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

07:24:49  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:54  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:24:59  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:25:04  IST  all    0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.85
07:25:09  IST  all   74.35    0.00    3.55    0.00    0.00    0.10    0.00    0.00    0.00   22.00
07:25:14  IST  all   95.75    0.00    4.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:25:19  IST  all   95.70    0.00    4.25    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:25:24  IST  all   95.55    0.00    4.35    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:25:29  IST  all   95.85    0.00    4.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:25:34  IST  all   95.45    0.00    4.45    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:25:39  IST  all   95.55    0.00    4.30    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:25:44  IST  all   95.15    0.00    4.70    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:25:49  IST  all   95.20    0.00    4.50    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:25:54  IST  all   95.20    0.00    4.55    0.00    0.00    0.25    0.00    0.00    0.00    0.00
07:25:59  IST  all   95.00    0.00    4.45    0.00    0.00    0.55    0.00    0.00    0.00    0.00
07:26:04  IST  all   94.60    0.00    4.90    0.00    0.00    0.50    0.00    0.00    0.00    0.00
07:26:09  IST  all   95.20    0.00    4.35    0.00    0.00    0.45    0.00    0.00    0.00    0.00
07:26:14  IST  all   95.30    0.00    4.30    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:26:19  IST  all   94.80    0.00    4.55    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:26:24  IST  all   94.80    0.00    4.60    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:26:29  IST  all   94.75    0.00    4.45    0.00    0.00    0.80    0.00    0.00    0.00    0.00
07:26:34  IST  all   95.35    0.00    4.15    0.00    0.00    0.50    0.00    0.00    0.00    0.00
07:26:39  IST  all   95.35    0.00    4.00    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:26:44  IST  all   95.15    0.00    4.10    0.00    0.00    0.75    0.00    0.00    0.00    0.00
07:26:49  IST  all   94.55    0.00    4.70    0.00    0.00    0.75    0.00    0.00    0.00    0.00
07:26:54  IST  all   95.00    0.00    4.25    0.00    0.00    0.75    0.00    0.00    0.00    0.00
07:26:59  IST  all   94.70    0.00    4.35    0.00    0.00    0.95    0.00    0.00    0.00    0.00
07:27:04  IST  all   95.40    0.00    4.05    0.00    0.00    0.55    0.00    0.00    0.00    0.00
07:27:09  IST  all   94.35    0.00    4.65    0.00    0.00    1.00    0.00    0.00    0.00    0.00
07:27:14  IST  all   94.75    0.00    4.30    0.00    0.00    0.95    0.00    0.00    0.00    0.00
07:27:19  IST  all   94.95    0.00    4.15    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:27:24  IST  all   94.80    0.00    4.45    0.00    0.00    0.75    0.00    0.00    0.00    0.00
