Linux 4.15.0-117-generic (sl1-21) 	Thursday 28 January 2021 	_x86_64_	(4 CPU)

11:47:37  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:47:42  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:47:47  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:47:52  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:47:57  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:48:02  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:48:07  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:12  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:48:17  IST  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:48:22  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:48:27  IST  all   28.08    0.00    1.64    0.00    0.00    6.48    0.00    0.00    0.00   63.80
11:48:32  IST  all   31.81    0.00    2.11    0.05    0.00    8.80    0.00    0.00    0.00   57.24
11:48:37  IST  all   32.71    0.00    2.00    0.05    0.00    7.61    0.00    0.00    0.00   57.63
11:48:42  IST  all   32.52    0.00    1.61    0.05    0.00    8.37    0.00    0.00    0.00   57.45
11:48:47  IST  all   32.84    0.00    1.81    0.05    0.00    7.57    0.00    0.00    0.00   57.73
11:48:52  IST  all   33.90    0.00    1.59    0.05    0.00    6.79    0.00    0.00    0.00   57.68
11:48:57  IST  all   33.94    0.00    1.92    0.00    0.00    6.38    0.00    0.00    0.00   57.75
11:49:02  IST  all   32.39    0.00    2.36    0.05    0.00    7.46    0.00    0.00    0.00   57.74
11:49:07  IST  all   31.94    0.00    2.58    0.05    0.00    8.20    0.00    0.00    0.00   57.24
11:49:12  IST  all   32.87    0.00    2.66    0.00    0.00    6.83    0.00    0.00    0.00   57.64
11:49:17  IST  all   32.45    0.00    2.09    0.05    0.00    7.26    0.00    0.00    0.00   58.15
11:49:22  IST  all   34.71    0.00    2.04    0.05    0.00    5.07    0.00    0.00    0.00   58.13
11:49:27  IST  all   34.11    0.00    1.41    0.05    0.00    6.28    0.00    0.00    0.00   58.15
11:49:32  IST  all   33.36    0.00    1.73    0.05    0.00    6.41    0.00    0.00    0.00   58.45
11:49:37  IST  all   33.54    0.00    1.65    0.05    0.00    6.26    0.00    0.00    0.00   58.51
11:49:42  IST  all   33.19    0.00    2.07    0.05    0.00    6.29    0.00    0.00    0.00   58.40
11:49:47  IST  all   32.99    0.00    2.31    0.05    0.00    6.03    0.00    0.00    0.00   58.62
11:49:52  IST  all   33.41    0.00    2.53    0.05    0.00    5.68    0.00    0.00    0.00   58.33
11:49:57  IST  all   33.13    0.00    1.97    0.05    0.00    6.41    0.00    0.00    0.00   58.45
11:50:02  IST  all   33.02    0.00    2.33    0.05    0.00    7.04    0.00    0.00    0.00   57.56
11:50:07  IST  all   32.65    0.00    2.33    0.00    0.00    7.22    0.00    0.00    0.00   57.80
11:50:12  IST  all   32.87    0.00    1.86    0.05    0.00    7.47    0.00    0.00    0.00   57.75
11:50:17  IST  all   32.78    0.00    1.90    0.00    0.00    7.92    0.00    0.00    0.00   57.41
11:50:22  IST  all   32.56    0.00    2.00    0.05    0.00    7.27    0.00    0.00    0.00   58.13
