Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

12:53:15  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:53:20  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:53:25  IST  all   52.70    0.00    3.30    0.00    0.00    0.10    0.00    0.00    0.00   43.90
12:53:30  IST  all   95.05    0.00    4.90    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:53:35  IST  all   94.55    0.00    5.20    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:53:40  IST  all   93.60    0.00    6.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:53:45  IST  all   94.25    0.00    5.65    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:53:50  IST  all   94.50    0.00    5.35    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:53:55  IST  all   94.95    0.00    4.90    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:54:00  IST  all   95.35    0.00    4.35    0.00    0.00    0.30    0.00    0.00    0.00    0.00
12:54:05  IST  all   95.05    0.00    4.75    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:54:10  IST  all   95.05    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:54:15  IST  all   95.10    0.00    4.75    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:54:20  IST  all   95.05    0.00    4.70    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:54:25  IST  all   93.75    0.00    5.90    0.00    0.00    0.35    0.00    0.00    0.00    0.00
12:54:30  IST  all   94.30    0.00    5.65    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:54:35  IST  all   95.30    0.00    4.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:54:40  IST  all   95.65    0.00    4.20    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:54:45  IST  all   95.15    0.00    4.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:54:50  IST  all   95.55    0.00    3.95    0.00    0.00    0.50    0.00    0.00    0.00    0.00
12:54:55  IST  all   95.80    0.00    4.15    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:55:00  IST  all   95.70    0.00    4.25    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:55:05  IST  all   95.85    0.00    4.10    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:55:10  IST  all   95.50    0.00    4.35    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:55:15  IST  all   94.75    0.00    5.05    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:55:20  IST  all   95.50    0.00    4.40    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:55:25  IST  all   95.95    0.00    4.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:55:30  IST  all   94.95    0.00    4.85    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:55:35  IST  all   95.55    0.00    4.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:55:40  IST  all   95.65    0.00    4.15    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:55:45  IST  all   95.45    0.00    4.15    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:55:50  IST  all   95.50    0.00    4.45    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:55:55  IST  all   95.60    0.00    4.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:56:00  IST  all   95.80    0.00    4.10    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:56:05  IST  all   95.60    0.00    4.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:56:10  IST  all   95.10    0.00    4.45    0.00    0.00    0.45    0.00    0.00    0.00    0.00
12:56:15  IST  all   95.45    0.00    4.50    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:56:20  IST  all   94.55    0.00    4.50    0.00    0.00    0.95    0.00    0.00    0.00    0.00
12:56:25  IST  all   95.30    0.00    4.10    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:56:30  IST  all   95.40    0.00    4.45    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:56:35  IST  all   95.95    0.00    3.95    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:56:40  IST  all   95.05    0.00    4.50    0.00    0.00    0.45    0.00    0.00    0.00    0.00
12:56:45  IST  all   94.90    0.00    4.45    0.00    0.00    0.65    0.00    0.00    0.00    0.00
12:56:50  IST  all   94.95    0.00    4.80    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:56:55  IST  all   95.15    0.00    4.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:57:00  IST  all   95.55    0.00    4.35    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:57:05  IST  all   94.85    0.00    5.05    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:57:10  IST  all   95.65    0.00    4.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:57:15  IST  all   94.70    0.00    5.10    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:57:20  IST  all   95.60    0.00    4.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:57:25  IST  all   95.25    0.00    4.70    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:57:30  IST  all   95.70    0.00    4.25    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:57:35  IST  all   95.00    0.00    4.90    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:57:40  IST  all   96.25    0.00    3.55    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:57:45  IST  all   95.05    0.00    4.90    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:57:50  IST  all   95.40    0.00    4.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:57:55  IST  all   95.10    0.00    4.70    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:58:00  IST  all   95.20    0.00    4.20    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:58:05  IST  all   95.35    0.00    4.55    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:58:10  IST  all   95.70    0.00    4.20    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:58:15  IST  all   95.40    0.00    4.50    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:58:20  IST  all   95.00    0.00    4.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:58:25  IST  all   95.30    0.00    4.55    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:58:30  IST  all   96.15    0.00    3.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:58:35  IST  all   27.14    0.00    1.65    0.00    0.00    0.10    0.00    0.00    0.00   71.11
12:58:40  IST  all    7.49    0.00    0.75    0.10    0.00    0.35    0.00    0.00    0.00   91.32
12:58:45  IST  all    5.86    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   93.64
12:58:50  IST  all    6.81    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00   92.54
12:58:55  IST  all    4.85    0.00    0.40    0.05    0.00    0.00    0.00    0.00    0.00   94.70
12:59:00  IST  all    1.10    0.00    0.15    0.00    0.00    0.05    0.00    0.00    0.00   98.70
12:59:05  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:59:10  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
12:59:15  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:59:20  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:59:25  IST  all    0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.85
12:59:30  IST  all    0.00    0.00    0.20    0.05    0.00    0.00    0.00    0.00    0.00   99.75
12:59:35  IST  all    0.00    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   98.91
12:59:40  IST  all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
12:59:45  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:59:50  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:59:55  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95

Average:     all   73.94    0.00    3.61    0.00    0.00    0.15    0.00    0.00    0.00   22.29
