Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

06:43:04  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:43:09  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:14  IST  all   52.15    0.00    2.55    0.00    0.00    0.10    0.00    0.00    0.00   45.20
06:43:19  IST  all   93.50    0.00    6.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00
06:43:24  IST  all   94.75    0.00    5.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00
06:43:29  IST  all   95.45    0.00    4.35    0.00    0.00    0.20    0.00    0.00    0.00    0.00
06:43:34  IST  all   95.35    0.00    4.55    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:43:39  IST  all   95.60    0.00    4.25    0.00    0.00    0.15    0.00    0.00    0.00    0.00
06:43:44  IST  all   95.40    0.00    4.20    0.00    0.00    0.40    0.00    0.00    0.00    0.00
06:43:49  IST  all   96.00    0.00    3.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:43:54  IST  all   95.60    0.00    4.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:43:59  IST  all   95.60    0.00    4.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:44:04  IST  all   95.15    0.00    4.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:44:09  IST  all   95.15    0.00    4.35    0.00    0.00    0.50    0.00    0.00    0.00    0.00
06:44:14  IST  all   95.40    0.00    4.50    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:44:19  IST  all   95.90    0.00    4.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:44:24  IST  all   95.60    0.00    4.30    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:44:29  IST  all   95.20    0.00    4.65    0.00    0.00    0.15    0.00    0.00    0.00    0.00
06:44:34  IST  all   95.60    0.00    4.25    0.00    0.00    0.15    0.00    0.00    0.00    0.00
06:44:39  IST  all   95.65    0.00    4.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:44:44  IST  all   95.60    0.00    4.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:44:49  IST  all   95.80    0.00    4.10    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:44:54  IST  all   95.20    0.00    4.45    0.00    0.00    0.35    0.00    0.00    0.00    0.00
06:44:59  IST  all   96.10    0.00    3.70    0.00    0.00    0.20    0.00    0.00    0.00    0.00
06:45:04  IST  all   95.60    0.00    4.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:45:09  IST  all   95.40    0.00    4.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:45:14  IST  all   95.60    0.00    4.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
06:45:19  IST  all   95.65    0.00    4.10    0.00    0.00    0.25    0.00    0.00    0.00    0.00
06:45:24  IST  all   94.65    0.00    5.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:45:29  IST  all   95.65    0.00    4.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
06:45:34  IST  all   95.30    0.00    4.55    0.00    0.00    0.15    0.00    0.00    0.00    0.00
06:45:39  IST  all   95.75    0.00    4.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:45:44  IST  all   95.25    0.00    4.35    0.00    0.00    0.40    0.00    0.00    0.00    0.00
